t,pn,pe,pd,vn,ve,vd
1.11,56.0,0.0,0.0,50.0,0.0,0.0
1.12,56.5,0.0,0.0,50.0,0.0,0.0
1.1300000000000001,57.0,0.0,0.0,50.0,0.0,0.0
1.1400000000000001,57.5,0.0,0.0,50.0,0.0,0.0
1.1500000000000001,58.0,0.0,0.0,50.0,0.0,0.0
1.16,58.5,0.0,0.0,50.0,0.0,0.0
1.17,59.0,0.0,0.0,50.0,0.0,0.0
1.18,59.5,0.0,0.0,50.0,0.0,0.0
1.19,60.0,0.0,0.0,50.0,0.0,0.0
1.2,60.5,0.0,0.0,50.0,0.0,0.0
1.21,61.0,0.0,0.0,50.0,0.0,0.0
1.22,61.5,0.0,0.0,50.0,0.0,0.0
1.23,62.0,0.0,0.0,50.0,0.0,0.0
1.24,62.5,0.0,0.0,50.0,0.0,0.0
1.25,63.0,0.0,0.0,50.0,0.0,0.0
1.26,63.5,0.0,0.0,50.0,0.0,0.0
1.27,64.0,0.0,0.0,50.0,0.0,0.0
1.28,64.5,0.0,0.0,50.0,0.0,0.0
1.29,65.0,0.0,0.0,50.0,0.0,0.0
1.3,65.5,0.0,0.0,50.0,0.0,0.0
1.31,66.0,0.0,0.0,50.0,0.0,0.0
1.32,66.5,0.0,0.0,50.0,0.0,0.0
1.33,67.0,0.0,0.0,50.0,0.0,0.0
1.34,67.5,0.0,0.0,50.0,0.0,0.0
1.35,68.0,0.0,0.0,50.0,0.0,0.0
1.36,68.5,0.0,0.0,50.0,0.0,0.0
1.37,69.0,0.0,0.0,50.0,0.0,0.0
1.3800000000000001,69.5,0.0,0.0,50.0,0.0,0.0
1.3900000000000001,70.0,0.0,0.0,50.0,0.0,0.0
1.4000000000000001,70.5,0.0,0.0,50.0,0.0,0.0
1.41,71.0,0.0,0.0,50.0,0.0,0.0
1.42,71.5,0.0,0.0,50.0,0.0,0.0
1.43,72.0,0.0,0.0,50.0,0.0,0.0
1.44,72.5,0.0,0.0,50.0,0.0,0.0
1.45,73.0,0.0,0.0,50.0,0.0,0.0
1.46,73.5,0.0,0.0,50.0,0.0,0.0
1.47,74.0,0.0,0.0,50.0,0.0,0.0
1.48,74.5,0.0,0.0,50.0,0.0,0.0
1.49,75.0,0.0,0.0,50.0,0.0,0.0
1.5,75.5,0.0,0.0,50.0,0.0,0.0
1.51,76.0,0.0,0.0,50.0,0.0,0.0
1.52,76.5,0.0,0.0,50.0,0.0,0.0
1.53,77.0,0.0,0.0,50.0,0.0,0.0
1.54,77.5,0.0,0.0,50.0,0.0,0.0
1.55,78.0,0.0,0.0,50.0,0.0,0.0
1.56,78.5,0.0,0.0,50.0,0.0,0.0
1.57,79.0,0.0,0.0,50.0,0.0,0.0
1.58,79.5,0.0,0.0,50.0,0.0,0.0
1.59,80.0,0.0,0.0,50.0,0.0,0.0
1.6,80.5,0.0,0.0,50.0,0.0,0.0
1.61,81.0,0.0,0.0,50.0,0.0,0.0
1.62,81.5,0.0,0.0,50.0,0.0,0.0
1.6300000000000001,82.0,0.0,0.0,50.0,0.0,0.0
1.6400000000000001,82.5,0.0,0.0,50.0,0.0,0.0
1.6500000000000001,83.0,0.0,0.0,50.0,0.0,0.0
1.6600000000000001,83.5,0.0,0.0,50.0,0.0,0.0
1.67,84.0,0.0,0.0,50.0,0.0,0.0
1.68,84.5,0.0,0.0,50.0,0.0,0.0
1.69,85.0,0.0,0.0,50.0,0.0,0.0
1.7,85.5,0.0,0.0,50.0,0.0,0.0
1.71,86.0,0.0,0.0,50.0,0.0,0.0
1.72,86.5,0.0,0.0,50.0,0.0,0.0
1.73,87.0,0.0,0.0,50.0,0.0,0.0
1.74,87.5,0.0,0.0,50.0,0.0,0.0
1.75,88.0,0.0,0.0,50.0,0.0,0.0
1.76,88.5,0.0,0.0,50.0,0.0,0.0
1.77,89.0,0.0,0.0,50.0,0.0,0.0
1.78,89.5,0.0,0.0,50.0,0.0,0.0
1.79,90.0,0.0,0.0,50.0,0.0,0.0
1.8,90.5,0.0,0.0,50.0,0.0,0.0
1.81,91.0,0.0,0.0,50.0,0.0,0.0
1.82,91.5,0.0,0.0,50.0,0.0,0.0
1.83,92.0,0.0,0.0,50.0,0.0,0.0
1.84,92.5,0.0,0.0,50.0,0.0,0.0
1.85,93.0,0.0,0.0,50.0,0.0,0.0
1.86,93.5,0.0,0.0,50.0,0.0,0.0
1.87,94.0,0.0,0.0,50.0,0.0,0.0
1.8800000000000001,94.5,0.0,0.0,50.0,0.0,0.0
1.8900000000000001,95.0,0.0,0.0,50.0,0.0,0.0
1.9000000000000001,95.5,0.0,0.0,50.0,0.0,0.0
1.9100000000000001,96.0,0.0,0.0,50.0,0.0,0.0
1.92,96.5,0.0,0.0,50.0,0.0,0.0
1.93,97.0,0.0,0.0,50.0,0.0,0.0
1.94,97.5,0.0,0.0,50.0,0.0,0.0
1.95,98.0,0.0,0.0,50.0,0.0,0.0
1.96,98.5,0.0,0.0,50.0,0.0,0.0
1.97,99.0,0.0,0.0,50.0,0.0,0.0
1.98,99.5,0.0,0.0,50.0,0.0,0.0
1.99,100.0,0.0,0.0,50.0,0.0,0.0
2.0,100.5,0.0,0.0,50.0,0.0,0.0
2.0100000000000002,101.0,0.0,0.0,50.0,0.0,0.0
2.02,101.5,0.0,0.0,50.0,0.0,0.0
2.0300000000000002,102.0,0.0,0.0,50.0,0.0,0.0
2.04,102.5,0.0,0.0,50.0,0.0,0.0
2.05,103.0,0.0,0.0,50.0,0.0,0.0
2.06,103.5,0.0,0.0,50.0,0.0,0.0
2.07,104.0,0.0,0.0,50.0,0.0,0.0
2.08,104.5,0.0,0.0,50.0,0.0,0.0
2.09,105.0,0.0,0.0,50.0,0.0,0.0
2.1,105.5,0.0,0.0,50.0,0.0,0.0
2.11,106.0,0.0,0.0,50.0,0.0,0.0
2.12,106.5,0.0,0.0,50.0,0.0,0.0
2.13,107.0,0.0,0.0,50.0,0.0,0.0
2.14,107.5,0.0,0.0,50.0,0.0,0.0
2.15,108.0,0.0,0.0,50.0,0.0,0.0
2.16,108.5,0.0,0.0,50.0,0.0,0.0
2.17,109.0,0.0,0.0,50.0,0.0,0.0
2.18,109.5,0.0,0.0,50.0,0.0,0.0
2.19,110.0,0.0,0.0,50.0,0.0,0.0
2.2,110.5,0.0,0.0,50.0,0.0,0.0
2.21,111.0,0.0,0.0,50.0,0.0,0.0
2.22,111.5,0.0,0.0,50.0,0.0,0.0
2.23,112.0,0.0,0.0,50.0,0.0,0.0
2.24,112.5,0.0,0.0,50.0,0.0,0.0
2.25,113.0,0.0,0.0,50.0,0.0,0.0
2.2600000000000002,113.5,0.0,0.0,50.0,0.0,0.0
2.27,114.0,0.0,0.0,50.0,0.0,0.0
2.2800000000000002,114.5,0.0,0.0,50.0,0.0,0.0
2.29,115.0,0.0,0.0,50.0,0.0,0.0
2.3000000000000003,115.5,0.0,0.0,50.0,0.0,0.0
2.31,116.0,0.0,0.0,50.0,0.0,0.0
2.32,116.5,0.0,0.0,50.0,0.0,0.0
2.33,117.0,0.0,0.0,50.0,0.0,0.0
2.34,117.5,0.0,0.0,50.0,0.0,0.0
2.35,118.0,0.0,0.0,50.0,0.0,0.0
2.36,118.5,0.0,0.0,50.0,0.0,0.0
2.37,119.0,0.0,0.0,50.0,0.0,0.0
2.38,119.5,0.0,0.0,50.0,0.0,0.0
2.39,120.0,0.0,0.0,50.0,0.0,0.0
2.4,120.5,0.0,0.0,50.0,0.0,0.0
2.41,121.0,0.0,0.0,50.0,0.0,0.0
2.42,121.5,0.0,0.0,50.0,0.0,0.0
2.43,122.0,0.0,0.0,50.0,0.0,0.0
2.44,122.5,0.0,0.0,50.0,0.0,0.0
2.45,123.0,0.0,0.0,50.0,0.0,0.0
2.46,123.5,0.0,0.0,50.0,0.0,0.0
2.47,124.0,0.0,0.0,50.0,0.0,0.0
2.48,124.5,0.0,0.0,50.0,0.0,0.0
2.49,125.0,0.0,0.0,50.0,0.0,0.0
2.5,125.5,0.0,0.0,50.0,0.0,0.0
2.5100000000000002,126.0,0.0,0.0,50.0,0.0,0.0
2.52,126.5,0.0,0.0,50.0,0.0,0.0
2.5300000000000002,127.0,0.0,0.0,50.0,0.0,0.0
2.54,127.5,0.0,0.0,50.0,0.0,0.0
2.5500000000000003,128.0,0.0,0.0,50.0,0.0,0.0
2.56,128.5,0.0,0.0,50.0,0.0,0.0
2.57,129.0,0.0,0.0,50.0,0.0,0.0
2.58,129.5,0.0,0.0,50.0,0.0,0.0
2.59,130.0,0.0,0.0,50.0,0.0,0.0
2.6,130.5,0.0,0.0,50.0,0.0,0.0
2.61,131.0,0.0,0.0,50.0,0.0,0.0
2.62,131.5,0.0,0.0,50.0,0.0,0.0
2.63,132.0,0.0,0.0,50.0,0.0,0.0
2.64,132.5,0.0,0.0,50.0,0.0,0.0
2.65,133.0,0.0,0.0,50.0,0.0,0.0
2.66,133.5,0.0,0.0,50.0,0.0,0.0
2.67,134.0,0.0,0.0,50.0,0.0,0.0
2.68,134.5,0.0,0.0,50.0,0.0,0.0
2.69,135.0,0.0,0.0,50.0,0.0,0.0
2.7,135.5,0.0,0.0,50.0,0.0,0.0
2.71,136.0,0.0,0.0,50.0,0.0,0.0
2.72,136.5,0.0,0.0,50.0,0.0,0.0
2.73,137.0,0.0,0.0,50.0,0.0,0.0
2.74,137.5,0.0,0.0,50.0,0.0,0.0
2.75,138.0,0.0,0.0,50.0,0.0,0.0
2.7600000000000002,138.5,0.0,0.0,50.0,0.0,0.0
2.77,139.0,0.0,0.0,50.0,0.0,0.0
2.7800000000000002,139.5,0.0,0.0,50.0,0.0,0.0
2.79,140.0,0.0,0.0,50.0,0.0,0.0
2.8000000000000003,140.5,0.0,0.0,50.0,0.0,0.0
2.81,141.0,0.0,0.0,50.0,0.0,0.0
2.82,141.5,0.0,0.0,50.0,0.0,0.0
2.83,142.0,0.0,0.0,50.0,0.0,0.0
2.84,142.5,0.0,0.0,50.0,0.0,0.0
2.85,143.0,0.0,0.0,50.0,0.0,0.0
2.86,143.5,0.0,0.0,50.0,0.0,0.0
2.87,144.0,0.0,0.0,50.0,0.0,0.0
2.88,144.5,0.0,0.0,50.0,0.0,0.0
2.89,145.0,0.0,0.0,50.0,0.0,0.0
2.9,145.5,0.0,0.0,50.0,0.0,0.0
2.91,146.0,0.0,0.0,50.0,0.0,0.0
2.92,146.5,0.0,0.0,50.0,0.0,0.0
2.93,147.0,0.0,0.0,50.0,0.0,0.0
2.94,147.5,0.0,0.0,50.0,0.0,0.0
2.95,148.0,0.0,0.0,50.0,0.0,0.0
2.96,148.5,0.0,0.0,50.0,0.0,0.0
2.97,149.0,0.0,0.0,50.0,0.0,0.0
2.98,149.5,0.0,0.0,50.0,0.0,0.0
2.99,150.0,0.0,0.0,50.0,0.0,0.0
3.0,150.5,0.0,0.0,50.0,0.0,0.0
3.0100000000000002,151.0,0.0,0.0,50.0,0.0,0.0
3.02,151.5,0.0,0.0,50.0,0.0,0.0
3.0300000000000002,152.0,0.0,0.0,50.0,0.0,0.0
3.04,152.5,0.0,0.0,50.0,0.0,0.0
3.0500000000000003,153.0,0.0,0.0,50.0,0.0,0.0
3.06,153.5,0.0,0.0,50.0,0.0,0.0
3.0700000000000003,154.0,0.0,0.0,50.0,0.0,0.0
3.08,154.5,0.0,0.0,50.0,0.0,0.0
3.09,155.0,0.0,0.0,50.0,0.0,0.0
3.1,155.5,0.0,0.0,50.0,0.0,0.0
3.11,156.0,0.0,0.0,50.0,0.0,0.0
3.12,156.5,0.0,0.0,50.0,0.0,0.0
3.13,157.0,0.0,0.0,50.0,0.0,0.0
3.14,157.5,0.0,0.0,50.0,0.0,0.0
3.15,158.0,0.0,0.0,50.0,0.0,0.0
3.16,158.5,0.0,0.0,50.0,0.0,0.0
3.17,159.0,0.0,0.0,50.0,0.0,0.0
3.18,159.5,0.0,0.0,50.0,0.0,0.0
3.19,160.0,0.0,0.0,50.0,0.0,0.0
3.2,160.5,0.0,0.0,50.0,0.0,0.0
3.21,161.0,0.0,0.0,50.0,0.0,0.0
3.22,161.5,0.0,0.0,50.0,0.0,0.0
3.23,162.0,0.0,0.0,50.0,0.0,0.0
3.24,162.5,0.0,0.0,50.0,0.0,0.0
3.25,163.0,0.0,0.0,50.0,0.0,0.0
3.2600000000000002,163.5,0.0,0.0,50.0,0.0,0.0
3.27,164.0,0.0,0.0,50.0,0.0,0.0
3.2800000000000002,164.5,0.0,0.0,50.0,0.0,0.0
3.29,165.0,0.0,0.0,50.0,0.0,0.0
3.3000000000000003,165.5,0.0,0.0,50.0,0.0,0.0
3.31,166.0,0.0,0.0,50.0,0.0,0.0
3.3200000000000003,166.5,0.0,0.0,50.0,0.0,0.0
3.33,167.0,0.0,0.0,50.0,0.0,0.0
3.34,167.5,0.0,0.0,50.0,0.0,0.0
3.35,168.0,0.0,0.0,50.0,0.0,0.0
3.36,168.5,0.0,0.0,50.0,0.0,0.0
3.37,169.0,0.0,0.0,50.0,0.0,0.0
3.38,169.5,0.0,0.0,50.0,0.0,0.0
3.39,170.0,0.0,0.0,50.0,0.0,0.0
3.4,170.5,0.0,0.0,50.0,0.0,0.0
3.41,171.0,0.0,0.0,50.0,0.0,0.0
3.42,171.5,0.0,0.0,50.0,0.0,0.0
3.43,172.0,0.0,0.0,50.0,0.0,0.0
3.44,172.5,0.0,0.0,50.0,0.0,0.0
3.45,173.0,0.0,0.0,50.0,0.0,0.0
3.46,173.5,0.0,0.0,50.0,0.0,0.0
3.47,174.0,0.0,0.0,50.0,0.0,0.0
3.48,174.5,0.0,0.0,50.0,0.0,0.0
3.49,175.0,0.0,0.0,50.0,0.0,0.0
3.5,175.5,0.0,0.0,50.0,0.0,0.0
3.5100000000000002,176.0,0.0,0.0,50.0,0.0,0.0
3.52,176.5,0.0,0.0,50.0,0.0,0.0
3.5300000000000002,177.0,0.0,0.0,50.0,0.0,0.0
3.54,177.5,0.0,0.0,50.0,0.0,0.0
3.5500000000000003,178.0,0.0,0.0,50.0,0.0,0.0
3.56,178.5,0.0,0.0,50.0,0.0,0.0
3.5700000000000003,179.0,0.0,0.0,50.0,0.0,0.0
3.58,179.5,0.0,0.0,50.0,0.0,0.0
3.59,180.0,0.0,0.0,50.0,0.0,0.0
3.6,180.5,0.0,0.0,50.0,0.0,0.0
3.61,181.0,0.0,0.0,50.0,0.0,0.0
3.62,181.5,0.0,0.0,50.0,0.0,0.0
3.63,182.0,0.0,0.0,50.0,0.0,0.0
3.64,182.5,0.0,0.0,50.0,0.0,0.0
3.65,183.0,0.0,0.0,50.0,0.0,0.0
3.66,183.5,0.0,0.0,50.0,0.0,0.0
3.67,184.0,0.0,0.0,50.0,0.0,0.0
3.68,184.5,0.0,0.0,50.0,0.0,0.0
3.69,185.0,0.0,0.0,50.0,0.0,0.0
3.7,185.5,0.0,0.0,50.0,0.0,0.0
3.71,186.0,0.0,0.0,50.0,0.0,0.0
3.72,186.5,0.0,0.0,50.0,0.0,0.0
3.73,187.0,0.0,0.0,50.0,0.0,0.0
3.74,187.5,0.0,0.0,50.0,0.0,0.0
3.75,188.0,0.0,0.0,50.0,0.0,0.0
3.7600000000000002,188.5,0.0,0.0,50.0,0.0,0.0
3.77,189.0,0.0,0.0,50.0,0.0,0.0
3.7800000000000002,189.5,0.0,0.0,50.0,0.0,0.0
3.79,190.0,0.0,0.0,50.0,0.0,0.0
3.8000000000000003,190.5,0.0,0.0,50.0,0.0,0.0
3.81,191.0,0.0,0.0,50.0,0.0,0.0
3.8200000000000003,191.5,0.0,0.0,50.0,0.0,0.0
3.83,192.0,0.0,0.0,50.0,0.0,0.0
3.84,192.5,0.0,0.0,50.0,0.0,0.0
3.85,193.0,0.0,0.0,50.0,0.0,0.0
3.86,193.5,0.0,0.0,50.0,0.0,0.0
3.87,194.0,0.0,0.0,50.0,0.0,0.0
3.88,194.5,0.0,0.0,50.0,0.0,0.0
3.89,195.0,0.0,0.0,50.0,0.0,0.0
3.9,195.5,0.0,0.0,50.0,0.0,0.0
3.91,196.0,0.0,0.0,50.0,0.0,0.0
3.92,196.5,0.0,0.0,50.0,0.0,0.0
3.93,197.0,0.0,0.0,50.0,0.0,0.0
3.94,197.5,0.0,0.0,50.0,0.0,0.0
3.95,198.0,0.0,0.0,50.0,0.0,0.0
3.96,198.5,0.0,0.0,50.0,0.0,0.0
3.97,199.0,0.0,0.0,50.0,0.0,0.0
3.98,199.5,0.0,0.0,50.0,0.0,0.0
3.99,200.0,0.0,0.0,50.0,0.0,0.0
4.0,200.5,0.0,0.0,50.0,0.0,0.0
4.01,201.0,0.0,0.0,50.0,0.0,0.0
4.0200000000000005,201.5,0.0,0.0,50.0,0.0,0.0
4.03,202.0,0.0,0.0,50.0,0.0,0.0
4.04,202.5,0.0,0.0,50.0,0.0,0.0
4.05,203.0,0.0,0.0,50.0,0.0,0.0
4.0600000000000005,203.5,0.0,0.0,50.0,0.0,0.0
4.07,204.0,0.0,0.0,50.0,0.0,0.0
4.08,204.5,0.0,0.0,50.0,0.0,0.0
4.09,205.0,0.0,0.0,50.0,0.0,0.0
4.1,205.5,0.0,0.0,50.0,0.0,0.0
4.11,206.0,0.0,0.0,50.0,0.0,0.0
4.12,206.5,0.0,0.0,50.0,0.0,0.0
4.13,207.0,0.0,0.0,50.0,0.0,0.0
4.14,207.5,0.0,0.0,50.0,0.0,0.0
4.15,208.0,0.0,0.0,50.0,0.0,0.0
4.16,208.5,0.0,0.0,50.0,0.0,0.0
4.17,209.0,0.0,0.0,50.0,0.0,0.0
4.18,209.5,0.0,0.0,50.0,0.0,0.0
4.19,210.0,0.0,0.0,50.0,0.0,0.0
4.2,210.5,0.0,0.0,50.0,0.0,0.0
4.21,211.0,0.0,0.0,50.0,0.0,0.0
4.22,211.5,0.0,0.0,50.0,0.0,0.0
4.23,212.0,0.0,0.0,50.0,0.0,0.0
4.24,212.5,0.0,0.0,50.0,0.0,0.0
4.25,213.0,0.0,0.0,50.0,0.0,0.0
4.26,213.5,0.0,0.0,50.0,0.0,0.0
4.2700000000000005,214.0,0.0,0.0,50.0,0.0,0.0
4.28,214.5,0.0,0.0,50.0,0.0,0.0
4.29,215.0,0.0,0.0,50.0,0.0,0.0
4.3,215.5,0.0,0.0,50.0,0.0,0.0
4.3100000000000005,216.0,0.0,0.0,50.0,0.0,0.0
4.32,216.5,0.0,0.0,50.0,0.0,0.0
4.33,217.0,0.0,0.0,50.0,0.0,0.0
4.34,217.5,0.0,0.0,50.0,0.0,0.0
4.3500000000000005,218.0,0.0,0.0,50.0,0.0,0.0
4.36,218.5,0.0,0.0,50.0,0.0,0.0
4.37,219.0,0.0,0.0,50.0,0.0,0.0
4.38,219.5,0.0,0.0,50.0,0.0,0.0
4.39,220.0,0.0,0.0,50.0,0.0,0.0
4.4,220.5,0.0,0.0,50.0,0.0,0.0
4.41,221.0,0.0,0.0,50.0,0.0,0.0
4.42,221.5,0.0,0.0,50.0,0.0,0.0
4.43,222.0,0.0,0.0,50.0,0.0,0.0
4.44,222.5,0.0,0.0,50.0,0.0,0.0
4.45,223.0,0.0,0.0,50.0,0.0,0.0
4.46,223.5,0.0,0.0,50.0,0.0,0.0
4.47,224.0,0.0,0.0,50.0,0.0,0.0
4.48,224.5,0.0,0.0,50.0,0.0,0.0
4.49,225.0,0.0,0.0,50.0,0.0,0.0
4.5,225.5,0.0,0.0,50.0,0.0,0.0
4.51,226.0,0.0,0.0,50.0,0.0,0.0
4.5200000000000005,226.5,0.0,0.0,50.0,0.0,0.0
4.53,227.0,0.0,0.0,50.0,0.0,0.0
4.54,227.5,0.0,0.0,50.0,0.0,0.0
4.55,228.0,0.0,0.0,50.0,0.0,0.0
4.5600000000000005,228.5,0.0,0.0,50.0,0.0,0.0
4.57,229.0,0.0,0.0,50.0,0.0,0.0
4.58,229.5,0.0,0.0,50.0,0.0,0.0
4.59,230.0,0.0,0.0,50.0,0.0,0.0
4.6000000000000005,230.5,0.0,0.0,50.0,0.0,0.0
4.61,231.0,0.0,0.0,50.0,0.0,0.0
4.62,231.5,0.0,0.0,50.0,0.0,0.0
4.63,232.0,0.0,0.0,50.0,0.0,0.0
4.64,232.5,0.0,0.0,50.0,0.0,0.0
4.65,233.0,0.0,0.0,50.0,0.0,0.0
4.66,233.5,0.0,0.0,50.0,0.0,0.0
4.67,234.0,0.0,0.0,50.0,0.0,0.0
4.68,234.5,0.0,0.0,50.0,0.0,0.0
4.69,235.0,0.0,0.0,50.0,0.0,0.0
4.7,235.5,0.0,0.0,50.0,0.0,0.0
4.71,236.0,0.0,0.0,50.0,0.0,0.0
4.72,236.5,0.0,0.0,50.0,0.0,0.0
4.73,237.0,0.0,0.0,50.0,0.0,0.0
4.74,237.5,0.0,0.0,50.0,0.0,0.0
4.75,238.0,0.0,0.0,50.0,0.0,0.0
4.76,238.5,0.0,0.0,50.0,0.0,0.0
4.7700000000000005,239.0,0.0,0.0,50.0,0.0,0.0
4.78,239.5,0.0,0.0,50.0,0.0,0.0
4.79,240.0,0.0,0.0,50.0,0.0,0.0
4.8,240.5,0.0,0.0,50.0,0.0,0.0
4.8100000000000005,241.0,0.0,0.0,50.0,0.0,0.0
4.82,241.5,0.0,0.0,50.0,0.0,0.0
4.83,242.0,0.0,0.0,50.0,0.0,0.0
4.84,242.5,0.0,0.0,50.0,0.0,0.0
4.8500000000000005,243.0,0.0,0.0,50.0,0.0,0.0
4.86,243.5,0.0,0.0,50.0,0.0,0.0
