timestamp,lat,lon,alt,Txx,Txy,Txz,Tyx,Tyy,Tyz,Tzx,Tzy,Tzz,J2,J3,laplacian,horizontal_curvature,vertical_gradient
9.6,46.8101,7.99992,784.738,-6.07788,-0.712847,-6.69832,-0.815344,-0.0713688,-0.863586,-6.70693,-0.906473,-7.03035,-5.24801,-0.0787475,-13.1796,6.0783,-7.03035
9.8,46.8102,7.99992,783.904,-6.06831,-0.818002,-6.62998,-0.806129,-0.0752178,-0.928503,-6.60324,-0.91512,-7.13396,-2.00876,-0.009085,-13.2775,6.06877,-7.13396
10,46.8103,7.99992,783.006,-6.14639,-0.829142,-6.75829,-0.816386,-0.131683,-0.820442,-6.76602,-0.843749,-7.11227,-3.27025,0.0761041,-13.3903,6.1478,-7.11227
10.2,46.81,8.00023,781.884,-6.29449,-0.974053,-6.53572,-0.959346,-0.13303,-0.92193,-6.53547,-0.969747,-7.21887,5.38859,0.0614599,-13.6464,6.2959,-7.21887
10.4,46.8101,8.00024,780.858,-6.25018,-1.06886,-6.53591,-1.09334,-0.162319,-0.911047,-6.59837,-0.888872,-7.17894,3.88938,0.390723,-13.5914,6.25229,-7.17894
10.6,46.8102,8.00024,779.772,-6.15253,-0.890589,-6.64309,-0.883536,0.0710407,-0.955893,-6.64481,-0.990777,-7.08561,-6.44408,-0.108606,-13.1671,6.15294,-7.08561
10.8,46.8103,8.00024,778.617,-6.37893,-0.905086,-6.65818,-0.933948,-0.187493,-0.881758,-6.64095,-0.907859,-7.11256,4.07518,-0.0430092,-13.679,6.38168,-7.11256
11,46.8104,8.00024,777.412,-6.14668,-0.857718,-6.69391,-0.892598,-0.0523741,-0.845954,-6.6718,-0.86397,-7.01407,-4.70879,-0.0597233,-13.2131,6.1469,-7.01407
11.2,46.8105,8.00025,776.159,-6.17061,-0.754116,-6.67782,-0.771591,-0.154878,-0.969663,-6.67103,-0.979783,-7.01829,-1.46029,0.21186,-13.3438,6.17255,-7.01829
11.4,46.8106,8.00025,774.842,-6.24772,-1.10607,-6.5956,-1.04958,-0.193373,-0.947651,-6.54774,-0.953295,-7.13864,3.87636,0.195604,-13.5797,6.25071,-7.13864
11.6,46.8107,8.00025,773.456,-5.97497,-0.855817,-6.66308,-0.817057,-0.190861,-0.860528,-6.66228,-0.882417,-7.14638,-1.29232,0.146649,-13.3122,5.97802,-7.14638
11.8,46.8108,8.00026,772.012,-6.02608,-0.850023,-6.6118,-0.830912,0.0515301,-0.959942,-6.54526,-0.974423,-7.12836,-5.27884,-0.0390939,-13.1029,6.0263,-7.12836
12,46.8109,8.00026,770.512,-6.15769,-0.891524,-6.43703,-0.856631,0.0182148,-0.899361,-6.50191,-0.948422,-7.19016,1.12401,0.344646,-13.3296,6.15772,-7.19016
12.2,46.811,8.00027,768.907,-6.14381,-0.95688,-6.63014,-0.871778,-0.0998827,-0.863011,-6.57733,-0.913736,-7.10752,-0.481042,0.0549837,-13.3512,6.14462,-7.10752
12.4,46.8112,8.00027,767.294,-6.21421,-0.840416,-6.64481,-0.829338,-0.216014,-0.959542,-6.61157,-0.951174,-7.12458,3.22532,-0.0096393,-13.5548,6.21796,-7.12458
12.6,46.8113,8.00027,765.615,-6.132,-0.89068,-6.64445,-0.87929,-0.222392,-1.02323,-6.67879,-1.02192,-7.05122,-0.0716056,0.130204,-13.4056,6.13603,-7.05122
12.8,46.8114,8.00027,763.874,-6.21106,-0.91793,-6.68784,-0.848903,-0.0298103,-0.995644,-6.66003,-0.975226,-7.12476,-3.28324,-0.0322272,-13.3656,6.21113,-7.12476
13,46.8115,8.00028,762.076,-6.15983,-0.86391,-6.65538,-0.877648,-0.155812,-1.01745,-6.65614,-1.01435,-7.2631,1.48315,0.0200448,-13.5787,6.1618,-7.2631
13.2,46.8116,8.00028,760.23,-6.12959,-0.856869,-6.55901,-0.83841,-0.123136,-0.878858,-6.54592,-0.917638,-7.23236,3.03433,-0.0085746,-13.4851,6.13083,-7.23236
13.4,46.8117,8.00028,758.314,-6.20408,-0.879205,-6.73873,-0.908702,0.000244142,-0.954959,-6.73937,-0.965033,-6.96953,-7.79793,-0.282633,-13.1734,6.20408,-6.96953
13.6,46.8119,8.00028,756.331,-6.3499,-0.891326,-6.72326,-0.817667,-0.138157,-0.894524,-6.71498,-0.841998,-7.00844,-0.560155,-0.00333034,-13.4965,6.3514,-7.00844
13.8,46.812,8.00029,754.297,-5.91426,-0.835098,-6.69455,-0.855426,-0.169786,-0.959023,-6.67652,-1.0106,-7.15249,-3.71922,0.113615,-13.2365,5.9167,-7.15249
14,46.8121,8.00029,752.211,-6.14724,-0.894503,-6.64935,-0.883762,-0.0573955,-0.773037,-6.56789,-0.797818,-7.12593,-1.02571,0.186979,-13.3306,6.14751,-7.12593
14.2,46.8123,8.0003,749.923,-6.22707,-0.932549,-6.58221,-0.902368,-0.11787,-1.02255,-6.63975,-1.04224,-7.0707,-0.0286952,0.0261115,-13.4156,6.22819,-7.0707
14.4,46.8124,8.0003,747.71,-6.11013,-0.946934,-6.34767,-0.905233,-0.0197751,-0.909057,-6.41404,-0.879501,-7.12676,2.87267,0.363166,-13.2567,6.11017,-7.12676
14.6,46.8125,8.0003,745.432,-6.25245,-0.873823,-6.58093,-0.819649,-0.245644,-0.876955,-6.65961,-0.889925,-6.85015,1.45148,0.126958,-13.3482,6.25727,-6.85015
14.8,46.8127,8.0003,743.089,-6.47978,-0.887659,-6.68648,-0.898819,-0.185553,-1.03653,-6.67865,-0.981943,-7.00425,2.83141,0.00183607,-13.6696,6.48243,-7.00425
15,46.8128,8.0003,740.691,-6.25433,-0.972177,-6.57225,-0.947957,-0.182835,-0.94798,-6.54827,-0.932407,-7.14298,4.5634,-0.0323686,-13.5801,6.257,-7.14298
15.2,46.8129,8.0003,738.356,-6.12656,-0.795885,-6.6493,-0.849363,-0.299307,-1.03583,-6.63151,-0.965107,-7.10083,3.3843,0.184095,-13.5267,6.13387,-7.10083
15.4,46.8131,8.0003,735.839,-6.16134,-0.903653,-6.63549,-0.911912,-0.154877,-0.807837,-6.62559,-0.84595,-7.12339,0.951208,0.136628,-13.4396,6.16328,-7.12339
15.6,46.8132,8.0003,733.275,-6.13681,-0.776404,-6.53971,-0.797373,-0.0455518,-0.857303,-6.60695,-0.909603,-6.97612,-2.39594,-0.0185031,-13.1585,6.13698,-6.97612
15.8,46.8134,8.0003,730.65,-6.25532,-0.902719,-6.63533,-0.915712,-0.019232,-0.992853,-6.6218,-0.979437,-6.92661,-4.31066,-0.0656476,-13.2012,6.25535,-6.92661
16,46.8135,8.0003,727.964,-6.11621,-0.878748,-6.67565,-0.903035,-0.212159,-0.791204,-6.6979,-0.817701,-6.91503,-2.18969,0.371345,-13.2434,6.11989,-6.91503
16.2,46.8137,8.00031,725.199,-6.22915,-0.942556,-6.69789,-0.905306,-0.223695,-0.932761,-6.70078,-0.944564,-7.13128,1.59004,0.0573942,-13.5841,6.23317,-7.13128
16.4,46.8138,8.00031,722.382,-6.0964,-0.973631,-6.7949,-0.97771,-0.117707,-1.00918,-6.75712,-0.961098,-7.13915,-5.50956,-0.0339311,-13.3533,6.09753,-7.13915
16.6,46.814,8.00031,719.516,-6.12237,-0.822482,-6.4205,-0.865061,-0.137066,-0.792769,-6.45637,-0.819063,-7.24137,6.70418,-0.0262554,-13.5008,6.1239,-7.24137
16.8,46.8141,8.00031,716.588,-5.98247,-0.862206,-6.61496,-0.913466,-0.0272311,-0.968667,-6.59709,-0.981638,-7.19408,-3.96153,-0.0704029,-13.2038,5.98253,-7.19408
17,46.8143,8.0003,713.593,-6.22443,-0.847969,-6.70998,-0.857675,-0.0833025,-1.05015,-6.69039,-1.06087,-7.3378,0.139238,0.142995,-13.6455,6.22499,-7.3378
17.2,46.8144,8.00029,710.747,-6.01925,-0.882549,-6.65209,-0.851319,-0.118254,-0.906469,-6.63011,-0.964624,-7.21165,-1.51306,-0.00301801,-13.3491,6.02041,-7.21165
17.4,46.8146,8.00029,707.633,-6.20707,-0.926148,-6.74633,-0.958623,-0.147162,-0.972434,-6.76651,-0.97949,-7.08023,-3.17311,0.0200158,-13.4345,6.20882,-7.08023
17.6,46.8148,8.00029,704.471,-6.09317,-0.818752,-6.72695,-0.840462,-0.0740001,-1.09487,-6.69984,-1.03945,-7.33471,-2.42077,0.126898,-13.5019,6.09362,-7.33471
17.8,46.8149,8.00029,701.239,-5.97219,-0.850084,-6.54654,-0.86309,-0.24568,-1.00738,-6.51492,-0.962956,-7.10582,2.59284,0.0391788,-13.3237,5.97724,-7.10582
18,46.8151,8.00029,697.934,-6.19923,-0.94249,-6.52922,-0.979431,0.0181132,-0.879804,-6.58656,-0.888698,-7.08586,-2.04774,0.259961,-13.267,6.19925,-7.08586
18.2,46.8152,8.00028,835.448,-6.26083,-0.790433,-6.63676,-0.815142,-0.0699029,-0.861931,-6.66105,-0.889495,-7.06744,-0.87809,0.000674169,-13.3982,6.26122,-7.06744
18.4,46.8154,8.00028,834.555,-6.13879,-0.739939,-6.60814,-0.761565,-0.0344156,-0.832806,-6.63285,-0.864306,-7.11937,-1.907,-0.00207822,-13.2926,6.13889,-7.11937
18.6,46.8156,8.00028,835.201,-6.25785,-0.875698,-6.67387,-0.843469,-0.054827,-0.890281,-6.64489,-0.817872,-6.97419,-2.89003,-0.0379876,-13.2869,6.25809,-6.97419
18.8,46.8158,8.00027,835.84,-6.15098,-0.886898,-6.69637,-0.890589,-0.0913165,-0.81623,-6.64435,-0.841416,-7.0279,-3.07546,0.0630755,-13.2702,6.15165,-7.0279
19,46.8159,8.00027,834.741,-6.08334,-0.842327,-6.67017,-0.910417,-0.0931051,-0.881984,-6.62928,-0.894326,-7.26449,-0.678058,0.0158264,-13.4409,6.08405,-7.26449
19.2,46.8161,8.00026,835.755,-6.23704,-0.996066,-6.64548,-0.968356,-0.0203116,-1.04245,-6.63916,-1.01018,-7.17122,-2.27689,0.0781817,-13.4286,6.23708,-7.17122
19.4,46.8163,8.00026,833.646,-5.95652,-0.943821,-6.55909,-0.904815,-0.140434,-0.927069,-6.61447,-0.886993,-7.27788,0.296474,0.0663721,-13.3748,5.95818,-7.27788
19.6,46.8165,8.00025,831.609,-6.11222,-0.814979,-6.54054,-0.872171,-0.10178,-0.984525,-6.54216,-1.03848,-7.20269,1.71417,0.0699607,-13.4167,6.11306,-7.20269
19.8,46.8167,8.00024,831.163,-6.21627,-0.824885,-6.70534,-0.841472,0.0243651,-0.855527,-6.66497,-0.875927,-7.16431,-3.85034,-0.0184175,-13.3562,6.21631,-7.16431
20,46.8169,8.00023,829.831,-6.20555,-0.89741,-6.59139,-0.852352,-0.191121,-0.792393,-6.57381,-0.810252,-7.22117,5.27993,-0.00206225,-13.6178,6.2085,-7.22117
20.2,46.817,8.00023,829.491,-6.14702,-0.936112,-6.56254,-0.921767,-0.123356,-0.960702,-6.67389,-0.949148,-7.29423,1.8467,0.0273538,-13.5646,6.14825,-7.29423
20.4,46.8172,8.00022,828.96,-6.26682,-0.822036,-6.56009,-0.868164,-0.216537,-0.739411,-6.5654,-0.806176,-6.91443,3.61271,0.0315224,-13.3978,6.27056,-6.91443
20.6,46.8174,8.00021,828.746,-6.12321,-0.886188,-6.60119,-0.819514,-0.220067,-0.832626,-6.58971,-0.885445,-7.09504,2.77979,0.0268889,-13.4383,6.12716,-7.09504
20.8,46.8176,8.0002,827.139,-6.18436,-0.978432,-6.69779,-0.945739,-0.14563,-0.87542,-6.68322,-0.868101,-7.17932,-0.204966,0.172749,-13.5093,6.18607,-7.17932
21,46.8178,8.00019,825.624,-6.19629,-0.787686,-6.62746,-0.815918,-0.239609,-1.02125,-6.67366,-0.968769,-7.20357,3.96933,0.0556606,-13.6395,6.20092,-7.20357
21.2,46.818,8.00017,824.007,-6.15803,-0.871317,-6.63308,-0.869444,-0.0424233,-0.820088,-6.58658,-0.861005,-6.98987,-3.10277,-0.00115794,-13.1903,6.15818,-6.98987
21.4,46.8182,8.00016,824.218,-6.24456,-0.925215,-6.70104,-0.889618,-0.102041,-0.939515,-6.69736,-0.938282,-7.10743,-1.6774,-0.00967487,-13.454,6.24539,-7.10743
21.6,46.8184,8.00015,822.952,-6.3196,-0.935285,-6.65681,-0.849477,-0.245305,-0.985493,-6.61927,-0.974553,-7.23543,6.46401,-0.201639,-13.8003,6.32436,-7.23543
21.8,46.8186,8.00013,822.724,-6.04536,-0.724002,-6.62939,-0.756603,-0.0596632,-1.00619,-6.58653,-0.931505,-7.0038,-4.06136,0.111269,-13.1088,6.04566,-7.0038
22,46.8188,8.00012,820.796,-6.2686,-0.760935,-6.7205,-0.795244,-0.145511,-0.95312,-6.70798,-0.898995,-6.95365,-2.05872,0.126444,-13.3678,6.27029,-6.95365
22.2,46.819,8.0001,818.885,-6.21643,-0.581664,-6.71443,-0.668156,-0.264235,-0.992048,-6.62356,-0.9917,-7.22863,5.28607,0.531763,-13.7093,6.22204,-7.22863
22.4,46.8192,8.00009,818.726,-6.28753,-0.878848,-6.77154,-0.901498,-0.0857722,-1.0206,-6.74505,-1.00341,-7.09634,-3.44857,-0.0235413,-13.4696,6.28811,-7.09634
22.6,46.8195,8.00007,817.463,-6.16958,-0.888244,-6.64633,-0.932223,-0.179342,-0.923115,-6.68564,-0.913868,-7.22859,1.78717,0.0170397,-13.5775,6.17219,-7.22859
22.8,46.8197,8.00005,815.394,-6.1845,-1.03182,-6.70717,-1.01068,0.0126962,-0.954836,-6.6936,-0.972286,-6.9601,-7.97702,-0.209299,-13.1319,6.18451,-6.9601
23,46.8199,8.00003,813.704,-6.15048,-0.856165,-6.69997,-0.860553,-0.213044,-1.00159,-6.73611,-0.965749,-7.08804,-0.841021,0.154388,-13.4516,6.15417,-7.08804
23.2,46.8201,8.00001,811.891,-6.13656,-0.86852,-6.55745,-0.878868,-0.307005,-1.03032,-6.65443,-1.01916,-7.24912,6.28926,-0.111682,-13.6927,6.14424,-7.24912
23.4,46.8203,7.99999,810.296,-6.32242,-0.796103,-6.74583,-0.808277,-0.291959,-0.845701,-6.72042,-0.855045,-6.99817,2.86606,0.206264,-13.6125,6.32915,-6.99817
23.6,46.8205,7.99997,808.016,-6.32718,-0.962171,-6.65738,-0.929189,0.0436111,-0.888024,-6.67183,-0.909409,-7.02018,-4.56524,0.0598623,-13.3038,6.32733,-7.02018
23.8,46.8208,7.99994,806.44,-6.11836,-0.897509,-6.69614,-0.935238,0.072381,-0.921225,-6.64193,-0.928702,-7.19572,-6.21586,-0.0656079,-13.2417,6.11879,-7.19572
24,46.821,7.99992,805.802,-6.16252,-0.99169,-6.66506,-0.983671,-0.128486,-0.98482,-6.68926,-0.987933,-7.13947,-1.65311,0.0256276,-13.4305,6.16386,-7.13947
24.2,46.8212,7.99989,803.113,-6.18824,-0.86618,-6.6191,-0.874166,-0.214276,-1.05115,-6.59381,-1.02905,-7.27542,4.84591,-0.0503191,-13.6779,6.19194,-7.27542
24.4,46.8215,7.99987,804.658,-6.29548,-0.99209,-6.69262,-0.977508,-0.180467,-0.959233,-6.72466,-0.993766,-7.3203,3.22668,0.00467815,-13.7962,6.29807,-7.3203
24.6,46.8217,7.99984,801.691,-6.04331,-0.85428,-6.62643,-0.875907,-0.165272,-0.796845,-6.66469,-0.861423,-7.12403,-0.737785,0.125802,-13.3326,6.04557,-7.12403
24.8,46.8219,7.99981,799.997,-6.12912,-0.867299,-6.53799,-0.859398,-0.0149127,-0.919495,-6.52462,-0.944928,-7.33442,1.76438,0.245301,-13.4785,6.12914,-7.33442
25,46.8222,7.99978,797.474,-6.2392,-0.828796,-6.65488,-0.867808,-0.148508,-0.982758,-6.68961,-0.923246,-7.04415,-0.445126,0.0312388,-13.4319,6.24097,-7.04415
25.2,46.8224,7.99975,796.347,-6.36835,-0.947186,-6.54973,-0.920138,-0.297278,-0.825064,-6.63341,-0.836092,-7.14115,8.96992,-0.209444,-13.8068,6.37528,-7.14115
25.4,46.8226,7.99971,793.89,-6.13771,-0.94401,-6.63447,-0.926231,-0.0874382,-0.984139,-6.64717,-0.963368,-7.04442,-3.06727,-0.0413498,-13.2696,6.13833,-7.04442
25.6,46.8229,7.99968,792.558,-6.22611,-0.793204,-6.62581,-0.790261,-0.258113,-0.948409,-6.57695,-0.981619,-7.15251,5.7002,-0.0541898,-13.6367,6.23145,-7.15251
25.8,46.8231,7.99965,791.026,-6.11164,-0.773688,-6.58566,-0.854458,0.00371382,-0.816264,-6.59961,-0.819405,-7.16263,-2.13345,0.0452168,-13.2705,6.11164,-7.16263
26,46.8234,7.99961,788.207,-6.18033,-0.781508,-6.58017,-0.809866,-0.102179,-0.830278,-6.55041,-0.866472,-7.34458,4.63747,-0.0070195,-13.6271,6.18117,-7.34458
26.2,46.8236,7.99957,787.482,-6.07299,-0.934769,-6.60979,-0.878969,-0.238,-1.02611,-6.56035,-0.991158,-7.14853,2.71712,-0.0130422,-13.4595,6.07766,-7.14853
26.4,46.8239,7.99953,786.816,-6.17641,-0.883868,-6.47856,-0.852109,-0.232948,-1.0396,-6.48557,-1.0039,-7.01791,5.21019,-0.0792004,-13.4273,6.1808,-7.01791
26.6,46.8241,7.99949,784.548,-6.18194,-0.680448,-6.53593,-0.711025,0.0362369,-0.830726,-6.56161,-0.830946,-7.2336,0.342366,0.262778,-13.3793,6.18205,-7.2336
26.8,46.8244,7.99945,781.303,-6.28738,-0.85938,-6.47695,-0.834521,-0.0795456,-0.758738,-6.43284,-0.812434,-7.1879,6.53237,0.164194,-13.5548,6.28789,-7.1879
27,46.8246,7.99941,780.488,-5.93295,-0.85846,-6.62487,-0.887203,-0.127501,-0.801644,-6.66061,-0.826668,-7.1415,-3.02571,0.152204,-13.2019,5.93432,-7.1415
27.2,46.8249,7.99936,777.69,-6.09471,-0.840326,-6.65534,-0.876448,-0.0142422,-0.958849,-6.70519,-0.965991,-7.27356,-3.5349,-0.0310077,-13.3825,6.09473,-7.27356
27.4,46.8251,7.99932,775.65,-6.18687,-0.806679,-6.73996,-0.81227,-0.0391416,-1.02252,-6.67852,-1.03292,-7.18831,-3.45537,0.10202,-13.4143,6.187,-7.18831
